Device Name;MACAdress String;Installation Date;Maschine Name And Model;Site;Dw Type;Energy KW;Time Zone ID;Rinse Flow L;Rack Size;Belt Speed;Water Correction Factor;Energy Correction Factor;Wash Temp Threshold;Rinse Temp Threshold;Dosing Unit Type;is Blackbox;Blackbox Specs;Warewash Detergent;Rinse Aid;Has Liquid Pumps;Dosage Detergent;Dosage Rinse;Is Forwarding Active;Last Summary;Last Seen
Simulated Device 11;E0798D463C80;3/20/2025;Meiko-M-iQ B-S54 P8;Test 11;Flight;331;Europe/Berlin (UTC+01:00);168;0;0;12;13;60;80;PDRX;FALSCH;;Solid Hero;Clear Dry PL;FALSCH;186;16;FALSCH;04.01.2025;1/24/2025
Simulated Device 12;E0798D46465E;1/24/2025;Hobart FTN;Test 12;Flight;36;Europe/Berlin (UTC+01:00);0;0;0;12;21;60;80;SDRX;WAHR;b71a89cd-6e31-4659-3181-08dd6bab2cfa;Apex Ultra;Apex Rinse N;FALSCH;0;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 13;E0798D464C24;4/21/2025;Ecolab DishIQ;Test 13;Single tank;0;Europe/Berlin (UTC+01:00);0;0;0;12;13;60;80;Other;WAHR;00fdd94f-a18c-4c06-3183-08dd6bab2cfa;;;FALSCH;0;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 14;E0798D464C21;3/19/2025;Cookmax CAMX-10A;Test 14;Single tank;71;Europe/Berlin (UTC+01:00);29;0;0;12;13;60;80;SDRX;FALSCH;;Solid Hero;Clear Dry PL;FALSCH;19;26;FALSCH;10.04.2025;10.04.2025
Simulated Device 15;E0798D463C94;3/25/2025;Hobart FTN-L-A 2014 FTN-07-02;Test 15;Flight;53;Europe/Berlin (UTC+01:00);172;0;12;12;21;60;80;SDRX;FALSCH;;Solid Mega;Clear Dry Classic;FALSCH;11;3;FALSCH;10/17/2025;10/20/2025
Simulated Device 16;E0798D463C86;3/25/2025;Hobart FTNI-S-A-A;Test 16;Flight;525;Europe/Berlin (UTC+01:00);510;5;0;12;21;60;80;EXN;FALSCH;;Topmatic Hero Protect;Topmatic Hero Protect;WAHR;228;45;FALSCH;10.01.2025;10.01.2025
Simulated Device 17;E0798D464C1E;3/25/2025;Hobart FTNI-S-A-A;Test 17;Flight;525;Europe/Berlin (UTC+01:00);510;5;0;12;21;60;80;EXN;FALSCH;;Topmatic Hero Protect;Topmatic Hero Protect;WAHR;168;15;FALSCH;10.10.2025;10.10.2025
Simulated Device 18;E0798D464C2C;3/25/2025;Hobart FTNI-S-A;Test 18;Flight;70;Europe/Berlin (UTC+01:00);391;5;0;12;21;60;80;EXN;FALSCH;;Topmatic Hero Protect;Topmatic Hero Protect;WAHR;156;18;FALSCH;10.10.2025;10.10.2025
Simulated Device 19;E0798D463C8C;04.04.2025;Hobart CN-A-CDS;Test 19;Conveyor;211;Europe/Berlin (UTC+01:00);13;5;67;12;21;60;80;SDRX;FALSCH;;Solid Clean M;Clear Dry PL;FALSCH;11;3;FALSCH;10.11.2025;10.11.2025
Simulated Device 20;E0798D463C95;02.11.2025;Meiko EcoTemp ET17.1;Test 20;Single tank;17;Europe/Berlin (UTC+01:00);3;5;0;12;13;60;80;PDRX;FALSCH;;Apex Ultra;Apex Rinse N;FALSCH;16;2;FALSCH;10/19/2025;10/20/2025
Simulated Device 21;E0798D463C8A;04.08.2025;Winterhalter PT-M;Test 21;Single tank;91;Europe/Berlin (UTC+01:00);22;0;0;12;13;60;80;None;WAHR;676a1885-480b-4bc7-1bf6-08dd7b2ef8d0;;;FALSCH;0;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 22;E0798D45EA3C;4/14/2025;Meiko KF-M EV6 N2-1 AT65P;Test 22;Conveyor;314;Europe/Berlin (UTC+01:00);260;5;1;12;13;60;80;SDRX;FALSCH;;Solid Mega;Clear Dry Classic;FALSCH;18;2;FALSCH;10/19/2025;10/20/2025
Simulated Device 23;E0798D464C2D;06.11.2025;Meiko M-IQBL;Test 23;Conveyor;502;Europe/Berlin (UTC+01:00);120;5;0;12;13;60;80;EXN;FALSCH;;Topmatic Hero;Toprinse HDP Plus;FALSCH;32;2;FALSCH;10/19/2025;10/20/2025
Simulated Device 24;E0798D464C31;8/18/2025;Hobart FUX-A-F;Test 24;Conveyor;605;Europe/Berlin (UTC+01:00);0;0;0;0;31;60;80;PDRX;FALSCH;;Apex Power Xstream;Apex Rinse;FALSCH;15;4;FALSCH;10/19/2025;10/20/2025
Simulated Device 25;E0798D463C97;3/25/2025;Andi Arbeitsplatz, Test V03.4;Test 25;Conveyor;0;Europe/Berlin (UTC+01:00);0;0;0;0;0;60;80;SDRX;FALSCH;;;;FALSCH;0;0;FALSCH;10.08.2025;10.08.2025
Simulated Device 26;E0798D463C8E;5/26/2025;Wexiodisk WD-153 Optiflow;Test 26;Conveyor;3185;Europe/Berlin (UTC+01:00);0;0;0;12;3;60;80;SDRX;WAHR;31b6a0fd-6640-4d34-4708-08dd9cf55a27;Solid Clean H;Apex Rinse N;FALSCH;1;6;FALSCH;9/20/2025;9/20/2025
Simulated Device 27;E0798D464C29;5/26/2025;Wexiodisk WD-213 ICS+;Test 27;Conveyor;3935;Europe/Berlin (UTC+01:00);0;0;0;12;3;60;80;SDRX;WAHR;07d1e646-b5da-4fa3-470e-08dd9cf55a27;Solid Clean M;Toprinse Clean;FALSCH;1;3;FALSCH;10/19/2025;10/20/2025
Simulated Device 28;E0798D464428;8/22/2025;Hobart 5B;Test 28;Single tank;25;Europe/Berlin (UTC+01:00);25;0;0;12;13;55;70;PDRX;FALSCH;;Smartpower Powder Clean;;FALSCH;8;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 29;E0798D463CB4;6/24/2025;Meiko ET 15.1 M2;Test 29;Single tank;92;Europe/Berlin (UTC+01:00);0;0;0;12;13;60;80;Other;WAHR;15f74ec4-3086-4ce7-6930-08ddb3e39b26;;;FALSCH;0;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 30;E0798D463C82;07.01.2025;;Test 30;Single tank;0;Europe/Berlin (UTC+01:00);0;0;0;12;13;60;80;Other;WAHR;58527e97-344c-4ac0-6933-08ddb3e39b26;;;WAHR;0;0;FALSCH;8/29/2025;8/29/2025
Simulated Device 31;E0798D45EA15;07.01.2025;Winterhalter PT-L;Test 31;Single tank;83;Europe/Berlin (UTC+01:00);42;5;0;12;13;60;75;PDRX;FALSCH;;Apex Ultra;Apex Rinse N;FALSCH;16;2;FALSCH;10/19/2025;10/20/2025
Simulated Device 32;E0798D45EA0C;07.11.2025;Winterhalter GS660;Test 32;Single tank;98;Europe/Berlin (UTC+01:00);75;5;0;12;13;60;80;SDRX;FALSCH;;Solid Mega;Clear Dry Classic;FALSCH;16;3;FALSCH;09.11.2025;09.11.2025
Simulated Device 33;E0798D464412;7/20/2025;Meiko M-IQ / B-L74GB V8N44P8;Test 33;Conveyor;0;Europe/Berlin (UTC+01:00);0;0;0;0;0;60;80;None;FALSCH;;;;FALSCH;0;0;FALSCH;07.07.2025;1/24/2025
Simulated Device 34;943469B297AC;9/19/2025;HOBART ECO+C815-A-CDS;Test 34;Conveyor;0;Europe/Berlin (UTC+01:00);230;50;0;12;21;60;80;Other;WAHR;0d015ea2-796e-4aca-6cfa-08ddd332b95e;;;FALSCH;42;39999;FALSCH;10/19/2025;10/20/2025
Simulated Device 35;E0798D463C91;10.08.2025;Meiko MiQ/B-M75 HA 2S V6 N22 P6 (Steam heated);Test 35;Flight;134;Europe/Berlin (UTC+01:00);161;5;0;13;13;60;80;SDRX;FALSCH;;Solid Mega;Clear Dry PL;FALSCH;12;3;FALSCH;10/18/2025;10/20/2025
Simulated Device 36;E0798D464C22;10.08.2025;Rhima WD-18CW (Steam heated);Test 36;Single tank;45;Europe/Berlin (UTC+01:00);8;0;0;13;13;60;80;TSPTwin;FALSCH;;Aquata XTR;Clear Dry HDP Plus;WAHR;35;6;FALSCH;10/18/2025;10/20/2025
Simulated Device 37;E0798D463CAA;10.08.2025;Meiko MiQ/B-M75 HA 2S V6 N22 P6 (Steam heated);Test 37;Flight;167;Europe/Berlin (UTC+01:00);161;5;15;13;13;60;80;SDRX;FALSCH;;Solid Mega;Clear Dry PL;FALSCH;16;42;FALSCH;10/18/2025;10/20/2025
Simulated Device 38;E0798D464C28;10/21/2025;TBA;Test 38;Conveyor;0;Europe/Berlin (UTC+01:00);0;0;0;0;0;0;0;SDRX;FALSCH;;;;FALSCH;0;0;FALSCH;10/16/2025;01.01.1970
